chi,dx,largest_stable_dt
4.0,0.25,0.25
4.0,0.4,0.25
4.0,0.5,0.25
4.0,0.8,0.25
5.0,0.25,0.25
5.0,0.4,0.25
5.0,0.5,0.25
5.0,0.8,0.25
6.0,0.25,0.125
6.0,0.4,0.25
6.0,0.5,0.125
6.0,0.8,0.125
7.0,0.25,0.0625
7.0,0.4,0.0625
7.0,0.5,0.0625
7.0,0.8,0.0625
8.0,0.25,0.03125
8.0,0.4,0.03125
8.0,0.5,0.03125
8.0,0.8,0.03125
9.0,0.25,0.015625
9.0,0.4,0.03125
9.0,0.5,0.015625
9.0,0.8,0.015625
10.0,0.25,0.0078125
10.0,0.4,0.015625
10.0,0.5,0.015625
10.0,0.8,0.0078125
11.0,0.25,0.0078125
11.0,0.4,0.00390625
11.0,0.5,0.0078125
11.0,0.8,0.0078125
12.0,0.25,0.00390625
12.0,0.4,0.00390625
12.0,0.5,0.00390625
12.0,0.8,0.00390625
4.0,0.1,0.25
4.0,0.2,0.25
5.0,0.1,0.25
5.0,0.2,0.25
6.0,0.1,0.125
6.0,0.2,0.125
7.0,0.1,0.0625
7.0,0.2,0.0625
8.0,0.1,0.03125
8.0,0.2,0.03125
9.0,0.1,0.015625
9.0,0.2,0.015625
10.0,0.1,0.0078125
10.0,0.2,0.015625
11.0,0.1,0.00390625
11.0,0.2,0.0078125
12.0,0.1,0.00390625
12.0,0.2,0.00390625
13.0,0.2,0.001953125
13.0,0.25,0.00390625
13.0,0.4,0.00390625
13.0,0.5,0.001953125
13.0,0.8,0.001953125
14.0,0.2,0.001953125
14.0,0.25,0.001953125
14.0,0.4,0.001953125
14.0,0.5,0.001953125
14.0,0.8,0.000488281
15.0,0.2,0.000976563
15.0,0.25,0.001953125
15.0,0.4,0.001953125
15.0,0.5,0.001953125
15.0,0.8,0.000488281
16.0,0.2,0.000976563
16.0,0.25,0.000976563
16.0,0.4,0.000976563
16.0,0.5,0.000976563
16.0,0.8,0.000488281
17.0,0.2,0.000976563
17.0,0.25,0.000488281
17.0,0.4,0.000976563
17.0,0.5,0.000976563
17.0,0.8,0.000244141
18.0,0.2,0.000488281
18.0,0.25,0.00048828125
18.0,0.4,0.00048828125
18.0,0.5,0.00048828125
18.0,0.8,0.0001220703125
19.0,0.4,0.000244140625
19.0,0.5,0.00048828125
19.0,0.8,NaN
20.0,0.4,NaN
20.0,0.5,NaN
20.0,0.8,NaN
